"name","species","gender","weight","(in lbs)"
"Abyssinian","cat",,9,
"American Bobtail","cat",,9.5,
"American Curl","cat",,9,
"American Shorthair","cat",,11.5,
"American Wirehair","cat",,9.5,
"Balinese","cat",,8,
"Bengal","cat",,17,
"Birman","cat",,9,
"Bombay","cat",,11.5,
"British Shorthair","cat",,11.5,
"Burmese","cat",,15,
"Chartreux","cat",,10,
"Colorpoint Shorthair","cat",,8,
"Cornish Rex","cat",,9,
"Cymric","cat",,10,
"Devon Rex","cat",,6.5,
"Egyptian Mau","cat",,8,
"European Burmese","cat",,8,
"Exotic Shorthair","cat",,10.5,
"Havana Brown","cat",,6.5,
"Himalayan","cat",,11.5,
"Japanese Bobtail","cat",,7.5,
"Javanese","cat",,8,
"Korat","cat",,9,
"Laperm","cat",,8,
"Maine Coon","cat",,15.5,
"Manx","cat",,10,
"Norwegian Forest Cat","cat",,16,
"Ocicat","cat",,10,
"Oriental","cat",,11.5,
"Persian","cat",,11.5,
"Ragamuffin","cat",,15,
"Ragdoll","cat",,15,
"Russian Blue","cat",,9.5,
"Scottish Fold","cat",,11,
"Selkirk Rex","cat",,10,
"Siamese","cat",,11.5,
"Siberian","cat",,15,
"Singapura","cat",,6.5,
"Somali","cat",,10,
"Sphynx","cat",,11.5,
"Tiffany/Chantilly","cat",,9,
"Tonkinese","cat",,9,
"Turkish Angora","cat",,9,
"Turkish Van","cat",,12,
"Affenpinscher","dog",,8,
"Affenpinscher","dog","male",8,
"Affenpinscher","dog","female",8,
"Afghan Hound","dog",,55,
"Afghan Hound","dog","male",60,
"Afghan Hound","dog","female",50,
"Airedale Terrier","dog",,45,
"Airedale Terrier","dog","male",45,
"Airedale Terrier","dog","female",45,
"Akbash","dog",,105,
"Akbash","dog","male",120,
"Akbash","dog","female",90,
"Akita","dog",,97.5,
"Akita","dog","male",107.5,
"Akita","dog","female",87.5,
"Alapaha Blue Blood Bulldog","dog",,89,
"Alapaha Blue Blood Bulldog","dog","male",100,
"Alapaha Blue Blood Bulldog","dog","female",78,
"Alaskan Klee Kai","dog",,16.5,
"Alaskan Klee Kai","dog","male",16.5,
"Alaskan Klee Kai","dog","female",16.5,
"Alaskan Malamute","dog",,80,
"Alaskan Malamute","dog","male",85,
"Alaskan Malamute","dog","female",75,
"American Bulldog","dog",,87.5,
"American Bulldog","dog","male",95,
"American Bulldog","dog","female",80,
"American English Coonhound","dog",,52.5,
"American English Coonhound","dog","male",52.5,
"American English Coonhound","dog","female",52.5,
"American Eskimo Dog","dog",,23,
"American Eskimo Dog","dog","male",23,
"American Eskimo Dog","dog","female",23,
"American FoxHound","dog",,70,
"American FoxHound","dog","male",72.5,
"American FoxHound","dog","female",67.5,
"American Hairless Terrier","dog",,10.5,
"American Hairless Terrier","dog","male",10.5,
"American Hairless Terrier","dog","female",10.5,
"American PitBull Terrier","dog",,63.5,
"American PitBull Terrier","dog","male",61,
"American PitBull Terrier","dog","female",66,
"American Staffordshire Terrier","dog",,62,
"American Staffordshire Terrier","dog","male",62,
"American Staffordshire Terrier","dog","female",62,
"American Water Spaniel","dog",,35,
"American Water Spaniel","dog","male",37.5,
"American Water Spaniel","dog","female",32.5,
"Anatolian Shepherd","dog",,115,
"Anatolian Shepherd","dog","male",130,
"Anatolian Shepherd","dog","female",100,
"Appenzell Mountain Dog","dog",,60,
"Appenzell Mountain Dog","dog","male",65,
"Appenzell Mountain Dog","dog","female",55,
"Argentine Dogo","dog",,90,
"Argentine Dogo","dog","male",95,
"Argentine Dogo","dog","female",85,
"AussieDoodle","dog",,47.5,
"AussieDoodle","dog","male",47.5,
"AussieDoodle","dog","female",47.5,
"Austrailian Cattle Dog/Blue Heeler","dog",,40,
"Austrailian Cattle Dog/Blue Heeler","dog","male",40,
"Austrailian Cattle Dog/Blue Heeler","dog","female",40,
"Australian Kelpie","dog",,35,
"Australian Kelpie","dog","male",35,
"Australian Kelpie","dog","female",35,
"Australian Shepherd","dog",,52.5,
"Australian Shepherd","dog","male",57.5,
"Australian Shepherd","dog","female",47.5,
"Australian Terrier","dog",,13,
"Australian Terrier","dog","male",13,
"Australian Terrier","dog","female",13,
"Azawakh","dog",,44,
"Azawakh","dog","male",49.5,
"Azawakh","dog","female",38.5,
"Basenji","dog",,23,
"Basenji","dog","male",24,
"Basenji","dog","female",22,
"Basset Hound","dog",,50,
"Basset Hound","dog","male",50,
"Basset Hound","dog","female",50,
