Name,dietary fiber (g),sugar
100% Bran,10,6
100% Natural Bran,2,8
All-Bran,9,5
All-Bran with Extra Fiber,14,0
Almond Delight,1,8
Apple Cinnamon Cheerios,1.5,10
Apple Jacks,1,14
Basic 4,2,8
Bran Chex,4,6
Bran Flakes,5,5
Cap'n'Crunch,0,12
Cheerios,2,1
Cinnamon Toast Crunch,0,9
Clusters,2,7
Cocoa Puffs,0,13
Corn Chex,0,3
Corn Flakes,1,2
Corn Pops,1,12
Count Chocula,0,13
Cracklin' Oat Bran,4,7
Cream of Wheat (Quick),1,0
Crispix,1,3
Crispy Wheat & Raisins,2,10
Double Chex,1,5
Froot Loops,1,13
Frosted Flakes,1,11
Frosted Mini-Wheats,3,7
Fruit & Fibre,5,10
Fruitful Bran,5,12
Fruity Pebbles,0,12
Golden Crisp,0,15
Golden Grahams,0,9
Grape Nuts Flakes,3,5
Grape-Nuts,3,3
Great Grains Pecan,3,4
Honey Graham Ohs,1,11
Honey Nut Cheerios,1.5,10
Honey-comb,0,11
Just Right Crunchy  Nuggets,1,6
Just Right Fruit & Nut,2,9
Kix,0,3
Life,2,6
Lucky Charms,0,12
Maypo,0,3
Muesli Raisins & Almonds,3,11
Muesli Peaches & Pecans,3,11
Mueslix Crispy Blend,3,13
Multi-Grain Cheerios,2,6
Nut&Honey Crunch,0,9
Nutri-Grain Almond-Raisin,3,7
Nutri-grain Wheat,3,2
Oatmeal Raisin Crisp,1.5,10
Post Nat. Raisin Bran,6,14
Product 19,1,3
Puffed Rice,0,0
Puffed Wheat,1,0
Quaker Oat Squares,2,6
Quaker Oatmeal,2.7,-1
Raisin Bran,5,12
Raisin Nut Bran,2.5,8
Raisin Squares,2,6
Rice Chex,0,2
Rice Krispies,0,3
Shredded Wheat,3,0
Shredded Wheat 'n'Bran,4,0
Shredded Wheat spoon size,3,0
Smacks,1,15
Special K,1,3
Strawberry Fruit Wheats,3,5
Total Corn Flakes,0,3
Total Raisin Bran,4,14
Total Whole Grain,3,3
Triples,0,3
Trix,0,12
Wheat Chex,3,3
Wheaties,3,3
Wheaties Honey Gold,1,8
