"business_id","Score","date","type"
10,"94","20140729","routine"
10,"92","20140114","routine"
10,"98","20121114","routine"
10,"98","20120403","routine"
10,"100","20110928","routine"
17,"94","20140312","routine"
17,"94","20130605","routine"
17,"100","20120823","routine"
17,"100","20120124","routine"
19,"94","20140214","routine"
19,"96","20130904","routine"
19,"100","20121127","routine"
19,"96","20120323","routine"
19,"93","20111103","routine"
24,"96","20140612","routine"
24,"100","20131118","routine"
24,"100","20121018","routine"
24,"100","20120417","routine"
24,"100","20111013","routine"
29,"86","20140814","routine"
29,"87","20131001","routine"
29,"87","20121228","routine"
29,"86","20120521","routine"
29,"87","20110928","routine"
31,"100","20121217","routine"
37,"96","20140311","routine"
37,"96","20130808","routine"
37,"96","20130130","routine"
37,"98","20120713","routine"
45,"94","20131209","routine"
45,"96","20121126","routine"
45,"100","20120417","routine"
45,"100","20111012","routine"
48,"92","20140523","routine"
48,"90","20131101","routine"
48,"90","20130327","routine"
48,"92","20120315","routine"
50,"100","20140402","routine"
50,"100","20131002","routine"
50,"96","20130328","routine"
50,"100","20121015","routine"
50,"100","20120404","routine"
50,"100","20111031","routine"
54,"92","20140325","routine"
54,"96","20131008","routine"
54,"96","20130326","routine"
54,"96","20120801","routine"
54,"96","20120206","routine"
56,"100","20140423","routine"
56,"94","20131021","routine"
56,"94","20130327","routine"
56,"98","20120927","routine"
56,"100","20120130","routine"
58,"78","20140725","routine"
58,"80","20131001","routine"
58,"100","20130207","routine"
58,"98","20120201","routine"
61,"94","20140530","routine"
61,"92","20131028","routine"
61,"96","20130329","routine"
61,"96","20120323","routine"
66,"91","20140519","routine"
66,"98","20140210","routine"
66,"100","20130808","routine"
66,"100","20130201","routine"
66,"96","20120706","routine"
66,"100","20120104","routine"
67,"94","20140205","routine"
67,"98","20130801","routine"
67,"90","20130129","routine"
67,"93","20120927","routine"
67,"93","20120321","routine"
67,"100","20111013","routine"
71,"100","20140624","routine"
71,"100","20120529","routine"
73,"92","20140522","routine"
73,"92","20131220","routine"
73,"92","20130524","routine"
73,"92","20120514","routine"
73,"92","20111102","routine"
76,"96","20140612","routine"
76,"98","20131118","routine"
76,"100","20121018","routine"
76,"100","20120417","routine"
76,"100","20111013","routine"
77,"94","20140612","routine"
77,"100","20131118","routine"
77,"100","20121018","routine"
77,"100","20120417","routine"
77,"100","20111013","routine"
80,"100","20140520","routine"
80,"86","20131204","routine"
80,"100","20130328","routine"
80,"100","20120914","routine"
80,"92","20120222","routine"
81,"92","20140210","routine"
81,"96","20130417","routine"
81,"86","20121024","routine"
83,"91","20131119","routine"
83,"88","20130204","routine"
83,"81","20120524","routine"
83,"90","20111003","routine"
85,"88","20140603","routine"
85,"86","20130909","routine"
85,"82","20121211","routine"
85,"90","20120223","routine"
88,"78","20140211","routine"
88,"85","20130415","routine"
88,"96","20120827","routine"
88,"80","20120314","routine"
88,"83","20110927","routine"
95,"86","20140506","routine"
95,"90","20130515","routine"
95,"96","20120705","routine"
95,"96","20111130","routine"
98,"96","20140324","routine"
98,"98","20130819","routine"
98,"89","20121204","routine"
98,"96","20111026","routine"
99,"90","20130306","routine"
99,"92","20120806","routine"
99,"85","20111117","routine"
101,"96","20140902","routine"
101,"100","20131030","routine"
101,"96","20121210","routine"
101,"96","20120111","routine"
102,"91","20140507","routine"
102,"94","20130829","routine"
102,"90","20121206","routine"
102,"94","20120522","routine"
102,"94","20111118","routine"
104,"98","20140612","routine"
104,"98","20130305","routine"
104,"98","20120410","routine"
108,"80","20131105","routine"
108,"84","20130206","routine"
108,"96","20120123","routine"
111,"92","20140324","routine"
